fecha_factura,cantidad,descripcion,valor_unitario,descuento,proveedor,numero_factura
26/02/2024,63.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100020601067936
26/02/2024,18.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100120601067936
26/02/2024,90.0,POLICRESULENO CINCOCAÍNA - HADENSA NF (SUP).,6.1016949153,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100120601067936
27/02/2024,65.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100320601067936
27/02/2024,60.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100420601067936
27/02/2024,25.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100520601067936
27/02/2024,120.0,POLICRESULENO CINCOCAÍNA - HADENSA NF (SUP).,6.1016949153,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100520601067936
27/02/2024,2.0,COLISTINA 150 MG/ML - COLISTIPHARM (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100620601067936
27/02/2024,2.0,DRENAJE SILICONADO A PRESIÓN NEGATIVA CON RESERVORIO COLAPSABLE (JACKSON PRATT).,415.254237289,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100720601067936
27/02/2024,1.0,MANDIL DESCARTABLE ADULTO.,6.779661017,0.0,CORPORACION NUEVA FENIX S.A.C.,E001100720601067936
24/02/2024,66.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E00199320601067936
24/02/2024,64.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E00199520601067936
24/02/2024,63.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E00199620601067936
26/02/2024,65.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E00199820601067936
26/02/2024,64.0,MESALAZINA 2 GR - PENTASA (SOBRE).,24.5762711865,0.0,CORPORACION NUEVA FENIX S.A.C.,E00199920601067936
