fecha_factura,cantidad,descripcion,valor_unitario,descuento,proveedor,numero_factura
27/04/2024,34.0,PARACETAMOL 1000 MG/100 ML (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001114220601067936
27/04/2024,2.0,PARACETAMOL 1000 MG/100 ML (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001114320601067936
27/04/2024,3.0,PARACETAMOL 1000 MG/100 ML (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001114420601067936
29/04/2024,6.0,COLISTINA 150 MG COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001114720601067936
29/04/2024,23.0,PARACETAMOL 1 GR (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001114720601067936
29/04/2024,3.0,FENITOINA 100 MG/ML (AMP).,4.2372881356,0.0,CORPORACION NUEVA FENIX S.A.C.,E001114720601067936
29/04/2024,3.0,IRINOTECAN 100 MG/5 ML (AMP).,300.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001114820601067936
29/04/2024,12.0,FOLINATO DE CALCIO 50 MG/ML (AMP).,85.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001114820601067936
30/04/2024,4.0,ALITRAQ (SOBRE).,30.5084745763,0.0,CORPORACION NUEVA FENIX S.A.C.,E001115020601067936
30/04/2024,4.0,COLISTINA 150 MG - COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001115020601067936
30/04/2024,6.0,PARACETAMOL 1 GR (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001115020601067936
30/04/2024,39.0,PARACETAMOL (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001115120601067936
30/04/2024,4.0,COLISTINA 150 MG - COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001115220601067936
30/04/2024,1.0,IAFAS/ CONT 013-2024 AS N 06-2024 IAFAS EP/ SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE CUATRO (04) EQUIPOS DE ANESTESIA DE LA UPSS CENTRO QUIRURGICO DE LA IPRESS HOSPITAL MILITAR CENTRAL / FECHA DE ENTREGA 29 DE ABRIL 2024 CCP N 091-2024,401694.9153,0.0,CRM SERVICIOS GENERALES,E0018320566145678
