fecha_factura,cantidad,descripcion,valor_unitario,descuento,proveedor,numero_factura
18/06/2024,9.0,FLUOROURACILO 50 MG/ML (AMP).,60.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001130620601067936
18/06/2024,1.0,PROPOFOL 1% 20 ML (AMP).,21.186440678,0.0,CORPORACION NUEVA FENIX S.A.C.,E001131020601067936
18/06/2024,5.0,PARACETAMOL 1 GR/ML (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001131020601067936
18/06/2024,30.0,ENOXAPARINA 40 MG/ML - NURECEL (AMP).,40.3389830509,0.0,CORPORACION NUEVA FENIX S.A.C.,E001131120601067936
24/06/2024,40.0,ENOXAPARINA 40 MG/ML - NURECEL (AMP).,40.3389830509,0.0,CORPORACION NUEVA FENIX S.A.C.,E001133820601067936
24/06/2024,20.0,ENOXAPARINA 40 MG/ML - NURECEL (AMP).,40.3389830509,0.0,CORPORACION NUEVA FENIX S.A.C.,E001133920601067936
24/06/2024,14.0,PARACETAMOL 1 GR/ML (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001134020601067936
24/06/2024,1.0,COLISTINA 150 MG/ML - COLISTIMETATO (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001134020601067936
24/06/2024,3.0,PARACETAMOL 1000 MG/100 ML X 1 (B BRAUN). (AMP).,25.4237288136,0.0,CORPORACION NUEVA FENIX S.A.C.,E001134120601067936
24/06/2024,20.0,FLUOROURACILO 50 MG/ML (AMP).,60.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001134220601067936
24/06/2024,1.0,PARACETAMOL 1 GR/ML (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001134320601067936
25/06/2024,10.0,PARACETAMOL 1 GR/ML (AMP).,43.220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001134520601067936
30/06/2024,6.0,PARACETAMOL 1 GR/ML (AMP).,43.2203389832,0.0,CORPORACION NUEVA FENIX S.A.C.,E001136720601067936
