fecha_factura,cantidad,descripcion,valor_unitario,descuento,proveedor,numero_factura
17/08/2024,1.0,ANFOTERICINA LIPOSOMAL 50 MG (AMP).,1144.06779662,0.0,CORPORACION NUEVA FENIX S.A.C.,E001150820601067936
17/08/2024,1.0,ANFOTERICINA LIPOSOMAL 50 MG (AMP).,1144.06779662,0.0,CORPORACION NUEVA FENIX S.A.C.,E001151220601067936
17/08/2024,1.0,ANFOTERICINA LIPOSOMAL 50 MG (AMP).,1144.06779662,0.0,CORPORACION NUEVA FENIX S.A.C.,E001151520601067936
19/08/2024,3.0,POLIGELINA 3.5% X 500 ML (FCO).,76.2711864407,0.0,CORPORACION NUEVA FENIX S.A.C.,E001151620601067936
23/08/2024,9.0,FLUOROURACILO 50 MG/ML (AMP).,60.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001151820601067936
24/08/2024,1.0,VASOPRESINA 20 UI/ML - CYPLERSAMEX (AMP).,105.93220339,0.0,CORPORACION NUEVA FENIX S.A.C.,E001152020601067936
27/08/2024,1.0,POLIGELINA 3.5% X 500 ML (AMP).,76.2711864407,0.0,CORPORACION NUEVA FENIX S.A.C.,E001152520601067936
28/08/2024,2.0,COLISTINA 150 MG/ML - COLISTIPHARM (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001152920601067936
28/08/2024,20.0,FLUOROURACILO 500 MG/ML (AMP).,60.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001153020601067936
28/08/2024,30.0,TENOFOVIR / EMTRICITABINA 300/200 MG (TAB).,6.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001153120601067936
28/08/2024,10.0,FLUOROURACILO 500 MG/10 ML (AMP).,60.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001153220601067936
28/08/2024,30.0,TENOFOVIR/EMTRICITABINA 300/200 MG (TAB).,6.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001153320601067936
13/09/2024,3.0,POLIGELINA 3.5% X 500 ML (FCO).,76.2711864407,0.0,CORPORACION NUEVA FENIX S.A.C.,E001155620601067936
13/09/2024,35.0,ENOXAPARINA 60 MG/ML (AMP).,42.372881356,0.0,CORPORACION NUEVA FENIX S.A.C.,E001155920601067936
18/09/2024,30.0,ENOXAPARINA 60 MG/ML - NURECEL (JERINGA PRELLENADA).,42.372881356,0.0,CORPORACION NUEVA FENIX S.A.C.,E001156620601067936
