fecha_factura,cantidad,descripcion,valor_unitario,descuento,proveedor,numero_factura
23/10/2024,50.0,BOLSA COLOSTOMÍA COD - 8331.,33.0508474577,0.0,CORPORACION NUEVA FENIX S.A.C.,E001164420601067936
23/10/2024,50.0,REMOVEDOR COD - 7760.,32.2033898306,0.0,CORPORACION NUEVA FENIX S.A.C.,E001164520601067936
24/10/2024,40.0,ENOXAPARINA 40 MG/ML - NURECEL (AMP).,40.6779661017,0.0,CORPORACION NUEVA FENIX S.A.C.,E001165020601067936
25/10/2024,28.0,RIVAROXABAN 15 MG - XARELTO (TAB).,9.3220338984,0.0,CORPORACION NUEVA FENIX S.A.C.,E001165520601067936
25/10/2024,30.0,ENOXAPARINA 40 MG/ML - NURECEL (JERINGA PRELLENADA).,40.6779661017,0.0,CORPORACION NUEVA FENIX S.A.C.,E001165720601067936
26/10/2024,4.0,COLISTINA 150 MG/ML - COLISTIPHARM (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001166320601067936
28/10/2024,4.0,POLIETILENGLICOL 10 GR - NULYTELY (SOBRE).,33.3050847458,0.0,CORPORACION NUEVA FENIX S.A.C.,E001166620601067936
28/10/2024,8.0,POLIGELINA 3.5% X 500 ML (FCO).,83.0508474577,0.0,CORPORACION NUEVA FENIX S.A.C.,E001166920601067936
28/10/2024,2.0,CEFTAZIDIMA 1 GR (F/A).,15.6779661017,0.0,CORPORACION NUEVA FENIX S.A.C.,E001166920601067936
28/10/2024,1.0,REMIFENTANILO 5 MG/ML - ULTIVA (AMP).,209.152542373,0.0,CORPORACION NUEVA FENIX S.A.C.,E001167020601067936
28/10/2024,4.0,METOTREXATE 50 MG/2ML - SOLUCION INYECTABLE (AMP).,140.0,0.0,CORPORACION NUEVA FENIX S.A.C.,E001167320601067936
29/10/2024,40.0,ENOXAPARINA 40 MG/ML - NURECEL (JERINGA PRELLENADA).,40.6779661017,0.0,CORPORACION NUEVA FENIX S.A.C.,E001167520601067936
29/10/2024,19.0,PREGABALINA 75 MG - LYRICA (TAB).,6.2711864407,0.0,CORPORACION NUEVA FENIX S.A.C.,E001167620601067936
29/10/2024,4.0,CEFTAZIDIMA 1 GR (AMP).,15.6779661017,0.0,CORPORACION NUEVA FENIX S.A.C.,E001167620601067936
29/10/2024,1.0,GADOTERATO DE MEGLUMINA 0.5 MMOL/ML - 15 ML -DOTAREM (AMP).,271.186440678,0.0,CORPORACION NUEVA FENIX S.A.C.,E001167620601067936
31/10/2024,4.0,COLISTINA 150 MG/ML - COLISTIPHARM (AMP).,101.694915255,0.0,CORPORACION NUEVA FENIX S.A.C.,E001168520601067936
