fecha_factura,cantidad,descripcion,valor_unitario,descuento,proveedor,numero_factura
14/12/2024,6.0,POLIGELINA 3.5% X 500 ML (FCO).,83.0508474577,0.0,CORPORACION NUEVA FENIX S.A.C.,E001186120601067936
14/12/2024,1.0,SMOFKAVIBEN CENTRAL 1600 KCAL - 147 ML - FRESENIUS NUTRICIÓN PARENTERAL.,322.881355933,0.0,CORPORACION NUEVA FENIX S.A.C.,E001186120601067936
14/12/2024,6.0,MANITOL 20% X 500 ML (FCO).,76.2711864407,0.0,CORPORACION NUEVA FENIX S.A.C.,E001186120601067936
14/12/2024,1.0,HALOPERIDOL 2 MG/ML GOTAS - HALDOL (FCO).,79.406779662,0.0,CORPORACION NUEVA FENIX S.A.C.,E001186120601067936
16/12/2024,1.0,POLIGELINA 3.5% X 500 ML (FCO).,83.0508474577,0.0,CORPORACION NUEVA FENIX S.A.C.,E001186720601067936
18/12/2024,30.0,PIASCLEDINE 300 MG (CAPS).,4.6610169492,0.0,CORPORACION NUEVA FENIX S.A.C.,E001188620601067936
20/12/2024,6.0,CEFTAZIDIMA 1 GR. (AMP).,15.6779661017,0.0,CORPORACION NUEVA FENIX S.A.C.,E001190020601067936
21/12/2024,60.0,PIASCLEDINE 300 MG (CAPS).,4.6610169492,0.0,CORPORACION NUEVA FENIX S.A.C.,E001190820601067936
21/12/2024,90.0,FENITOÍNA 100 MG (TAB).,1.2711864407,0.0,CORPORACION NUEVA FENIX S.A.C.,E001191120601067936
21/12/2024,15.0,CEFTAZIDIMA 1 GR (AMP).,15.6779661017,0.0,CORPORACION NUEVA FENIX S.A.C.,E001191420601067936
25/12/2024,60.0,PRAMIPREXOL 1 GR - PARMITAL (TAB).,12.372881356,0.0,CORPORACION NUEVA FENIX S.A.C.,E001192220601067936
26/12/2024,6.0,VASOPRESINA 20 UI - CYPLERSAMEX (AMP).,141.525423729,0.0,CORPORACION NUEVA FENIX S.A.C.,E001193020601067936
26/12/2024,60.0,PRAMIPREXOL 1 GR - PARMITAL (TAB).,12.372881356,0.0,CORPORACION NUEVA FENIX S.A.C.,E001193320601067936
27/12/2024,60.0,PRAMIPREXOL 1 GR - PARMITAL (TAB).,12.372881356,0.0,CORPORACION NUEVA FENIX S.A.C.,E001194020601067936
27/12/2024,60.0,PRAMIPREXOL 1 GR - PARMITAL (TAB).,12.372881356,0.0,CORPORACION NUEVA FENIX S.A.C.,E001194320601067936
28/12/2024,10.0,LEVOFLOXACINO 750 MG/ML (AMP).,118.644067797,0.0,CORPORACION NUEVA FENIX S.A.C.,E001194520601067936
28/12/2024,2.0,HIDROCORTISONA 250 MG (AMP).,27.1186440678,0.0,CORPORACION NUEVA FENIX S.A.C.,E001194920601067936
